RTEClassifier_1step_ngram1_negtnTrue
Training classifier...
  ==> Training (100 iterations)

      Iteration    Log Likelihood    Accuracy
      ---------------------------------------
             1          -0.69315        0.512
             2          -0.67675        0.603
             3          -0.66422        0.615
             4          -0.65429        0.617
             5          -0.64635        0.614
             6          -0.63995        0.612
             7          -0.63471        0.612
             8          -0.63039        0.608
             9          -0.62677        0.607
            10          -0.62372        0.607
            11          -0.62113        0.608
            12          -0.61890        0.608
            13          -0.61697        0.608
            14          -0.61530        0.608
            15          -0.61383        0.610
            16          -0.61253        0.610
            17          -0.61138        0.610
            18          -0.61036        0.610
            19          -0.60945        0.610
            20          -0.60863        0.610
            21          -0.60788        0.610
            22          -0.60721        0.611
            23          -0.60660        0.611
            24          -0.60604        0.611
            25          -0.60553        0.612
            26          -0.60506        0.610
            27          -0.60462        0.610
            28          -0.60422        0.610
            29          -0.60385        0.610
            30          -0.60351        0.610
            31          -0.60318        0.611
            32          -0.60288        0.611
            33          -0.60260        0.611
            34          -0.60234        0.611
            35          -0.60209        0.612
            36          -0.60185        0.612
            37          -0.60163        0.612
            38          -0.60142        0.612
            39          -0.60123        0.612
            40          -0.60104        0.612
            41          -0.60086        0.612
            42          -0.60069        0.612
            43          -0.60053        0.612
            44          -0.60037        0.612
            45          -0.60022        0.612
            46          -0.60008        0.612
            47          -0.59995        0.612
            48          -0.59982        0.612
            49          -0.59969        0.612
            50          -0.59957        0.612
            51          -0.59946        0.611
            52          -0.59935        0.611
            53          -0.59924        0.611
            54          -0.59913        0.611
            55          -0.59903        0.611
            56          -0.59894        0.611
            57          -0.59884        0.611
            58          -0.59875        0.611
            59          -0.59867        0.611
            60          -0.59858        0.612
            61          -0.59850        0.612
            62          -0.59842        0.612
            63          -0.59834        0.612
            64          -0.59827        0.612
            65          -0.59819        0.612
            66          -0.59812        0.612
            67          -0.59805        0.612
            68          -0.59799        0.612
            69          -0.59792        0.612
            70          -0.59786        0.612
            71          -0.59779        0.612
            72          -0.59773        0.612
            73          -0.59767        0.612
            74          -0.59762        0.612
            75          -0.59756        0.612
            76          -0.59751        0.612
            77          -0.59745        0.612
            78          -0.59740        0.612
            79          -0.59735        0.612
            80          -0.59730        0.612
            81          -0.59725        0.612
            82          -0.59720        0.612
            83          -0.59715        0.612
            84          -0.59711        0.612
            85          -0.59706        0.612
            86          -0.59702        0.612
            87          -0.59698        0.612
            88          -0.59693        0.612
            89          -0.59689        0.612
            90          -0.59685        0.612
            91          -0.59681        0.612
            92          -0.59677        0.612
            93          -0.59673        0.612
            94          -0.59670        0.612
            95          -0.59666        0.612
            96          -0.59662        0.612
            97          -0.59659        0.612
            98          -0.59655        0.612
            99          -0.59652        0.612
         Final          -0.59648        0.612
Testing classifier...
Accuracy: 0.5592
length of train tweets 80000
length of test tweets 20000
  ==> Training (100 iterations)

      Iteration    Log Likelihood    Accuracy
      ---------------------------------------
             1          -0.69315        0.501
             2          -0.59176        0.831
             3          -0.52501        0.839
             4          -0.47858        0.846
             5          -0.44429        0.853
             6          -0.41772        0.858
             7          -0.39637        0.863
             8          -0.37873        0.868
             9          -0.36383        0.871
            10          -0.35101        0.874
            11          -0.33983        0.877
            12          -0.32997        0.880
            13          -0.32117        0.882
            14          -0.31326        0.884
            15          -0.30610        0.886
            16          -0.29957        0.888
            17          -0.29359        0.889
            18          -0.28807        0.891
            19          -0.28297        0.893
            20          -0.27823        0.894
            21          -0.27382        0.895
            22          -0.26969        0.896
            23          -0.26581        0.897
            24          -0.26217        0.898
            25          -0.25874        0.898
            26          -0.25550        0.899
            27          -0.25243        0.900
            28          -0.24952        0.901
            29          -0.24675        0.902
            30          -0.24412        0.902
            31          -0.24161        0.903
            32          -0.23921        0.904
            33          -0.23692        0.904
            34          -0.23473        0.905
            35          -0.23263        0.905
            36          -0.23061        0.906
            37          -0.22868        0.906
            38          -0.22682        0.906
            39          -0.22503        0.907
            40          -0.22330        0.907
            41          -0.22164        0.908
            42          -0.22004        0.908
            43          -0.21849        0.908
            44          -0.21699        0.909
            45          -0.21555        0.909
            46          -0.21415        0.910
            47          -0.21279        0.910
            48          -0.21148        0.910
            49          -0.21020        0.910
            50          -0.20897        0.911
            51          -0.20777        0.911
            52          -0.20660        0.911
            53          -0.20547        0.911
            54          -0.20437        0.912
            55          -0.20330        0.912
            56          -0.20226        0.912
            57          -0.20125        0.912
            58          -0.20026        0.912
            59          -0.19930        0.913
